file	class	member	kind	loc	weight	classification	reason	coupled_tests_grep	w_tests	direct_tests	needs_fallback	target_rust_module	planned_task	category	line
src/basemodelmanager.ts	BaseModelManager	validateModelFiles	method	5	7.5	RUST		B:validateDecorators.js,modelmanager.js,composer/composermodelutility.js	-	n=19 validateDecorators.js:17,modelmanager.js:2	false	concerto_core::model_manager	P2-08+P4-08	validation	439
src/basemodelmanager.ts	BaseModelManager	updateExternalModels	method	37	37	HYBRID	async download through FileDownloader (JS I/O, stubbed by tests) stays in TS; the add/update/validate/rollback of the downloaded ASTs runs in Rust	B:modelmanager.js	-	n=9 modelmanager.js:9	false	concerto_core::model_manager	P2-08+P4-08	logic	453
src/basemodelmanager.ts	BaseModelManager	writeModelsToFileSystem	method	15	15	TS	writes files through concerto-util ModelWriter (Node fs); no model logic	B:modelmanager.js	-	n=3 modelmanager.js:3	false	-	-	logic	499
src/basemodelmanager.ts	BaseModelManager	getDecoratorValidation	method	3	1.5	RUST		-	-	-	false	concerto_core::model_manager	P2-08+P4-08	glue	519
src/basemodelmanager.ts	BaseModelManager	getModelFiles	method	13	13	RUST		B:modelmanager.js,modelloader.js,decoratormanager.js	-	n=11 modelloader.js:5,modelmanager.js:3,decoratormanager.js:1,+2files	false	concerto_core::model_manager	P2-08+P4-08	logic	530
src/basemodelmanager.ts	BaseModelManager	getModels	method	22	22	RUST		B:modelmanager.js	-	n=8 modelmanager.js:8	false	concerto_core::model_manager	P2-08+P4-08	logic	551
src/basemodelmanager.ts	BaseModelManager	resolveType	method	27	40.5	RUST		B:modelmanager.js,composer/i18n.js	-	n=5 modelmanager.js:4,composer/i18n.js:1	false	concerto_core::model_manager	P2-08+P4-08	validation	582
src/basemodelmanager.ts	BaseModelManager	clearModelFiles	method	5	2.5	RUST		B:introspect/property_ex.js,model/concept.js,model/relationship.js,+1	-	n=6 models/test.js:4,models/model.js:1,models/relationship.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	613
src/basemodelmanager.ts	BaseModelManager	getModelFile	method	3	1.5	RUST		W:introspect/assetdeclaration.js,introspect/field.js,introspect/property.js,introspect/property_ex.js,+2 B:modelmanager.js,decoratormanager.js,introspect/modelfile.js,+7	-	n=46 modelmanager.js:14,introspect/modelfile.js:9,decoratormanager.js:6,+11files	false	concerto_core::model_manager	P2-08+P4-08	glue	625
src/basemodelmanager.ts	BaseModelManager	getModelFileByFileName	method	3	1.5	RUST		B:modelmanager.js	-	n=1 modelmanager.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	636
src/basemodelmanager.ts	BaseModelManager	getNamespaces	method	3	1.5	RUST		B:decoratormanager.js,modelmanager.js	-	n=3 decoratormanager.js:2,modelmanager.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	644
src/basemodelmanager.ts	BaseModelManager	getType	method	23	34.5	RUST		W:introspect/assetdeclaration.js,introspect/relationshipdeclaration.js,introspect/scalars.js,modelutil.js,+1 B:serializer/resourcevalidator.js,introspect/classdeclaration.js,decoratormanager.js,+23	-	n=331 serializer/jsonpopulator.js:65,serializer/jsongenerator.js:33,serializer/resourcevalidator.js:29,+29files	false	concerto_core::model_manager	P2-08+P4-08	validation	655
src/basemodelmanager.ts	BaseModelManager	getAssetDeclarations	method	5	2.5	RUST		B:introspect/assetdeclaration.js,modelmanager.js	-	n=3 modelmanager.js:1,models/farm2fork.js:1,models/test.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	683
src/basemodelmanager.ts	BaseModelManager	getTransactionDeclarations	method	5	2.5	RUST		B:modelmanager.js	-	n=3 modelmanager.js:1,models/farm2fork.js:1,models/test.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	693
src/basemodelmanager.ts	BaseModelManager	getEventDeclarations	method	5	2.5	RUST		B:introspect/modelfile.js,modelmanager.js	-	n=3 introspect/modelfile.js:2,modelmanager.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	703
src/basemodelmanager.ts	BaseModelManager	getParticipantDeclarations	method	5	2.5	RUST		B:introspect/participantdeclaration.js,modelmanager.js	-	n=2 introspect/participantdeclaration.js:1,modelmanager.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	713
src/basemodelmanager.ts	BaseModelManager	getMapDeclarations	method	5	2.5	RUST		B:modelmanager.js	-	n=1 modelmanager.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	723
src/basemodelmanager.ts	BaseModelManager	getEnumDeclarations	method	5	2.5	RUST		B:introspect/modelfile.js,modelmanager.js	-	n=2 introspect/modelfile.js:1,modelmanager.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	733
src/basemodelmanager.ts	BaseModelManager	getConceptDeclarations	method	5	2.5	RUST		B:modelmanager.js	-	n=2 modelmanager.js:1,models/model.js:1	false	concerto_core::model_manager	P2-08+P4-08	glue	743
src/basemodelmanager.ts	BaseModelManager	getFactory	method	3	1.5	TS	returns a TS-owned object (Factory/Serializer/JS DecoratorFactory list) that has no Rust counterpart	B:model/resource.js,modelloader.js,modelmanager.js	-	n=4 model/resource.js:2,modelloader.js:1,modelmanager.js:1	false	-	-	glue	753
src/basemodelmanager.ts	BaseModelManager	getSerializer	method	3	1.5	TS	returns a TS-owned object (Factory/Serializer/JS DecoratorFactory list) that has no Rust counterpart	B:modelloader.js,modelmanager.js	-	n=2 modelloader.js:1,modelmanager.js:1	false	-	-	glue	761
src/basemodelmanager.ts	BaseModelManager	getDecoratorFactories	method	3	1.5	TS	returns a TS-owned object (Factory/Serializer/JS DecoratorFactory list) that has no Rust counterpart	B:modelmanager.js	-	n=2 modelmanager.js:2	false	-	-	glue	769
src/basemodelmanager.ts	BaseModelManager	addDecoratorFactory	method	3	1.5	TS	registers a user JS DecoratorFactory; factories are JS callbacks invoked while decorators are materialised	B:introspect/decorators.js,modelmanager.js	-	n=2 introspect/decorators.js:1,modelmanager.js:1	false	-	-	glue	777
src/basemodelmanager.ts	BaseModelManager	derivesFrom	method	11	11	RUST		B:modelmanager.js	-	n=6 modelmanager.js:6	false	concerto_core::model_manager	P2-08+P4-08	logic	788
src/basemodelmanager.ts	BaseModelManager	getAssignableConcreteTypes	method	11	11	RUST		B:modelmanager.js	-	n=3 modelmanager.js:3	false	concerto_core::model_manager	P2-08+P4-08	logic	806
src/basemodelmanager.ts	BaseModelManager	isAssignableTo	method	14	14	RUST		W:serializer/resourcevalidator.js B:modelutil.js,modelmanager.js	-	n=11 modelutil.js:6,modelmanager.js:5	false	concerto_core::model_manager	P2-08+P4-08	logic	824
src/basemodelmanager.ts	BaseModelManager	resolveMetaModel	method	4	2	RUST		B:introspect/metamodel.js,introspect/classdeclaration.js,introspect/decorator.js,+2	-	n=29 introspect/property.js:14,introspect/classdeclaration.js:8,introspect/metamodel.js:3,+2files	false	concerto_core::model_manager	P2-08+P4-08	glue	844
src/basemodelmanager.ts	BaseModelManager	fromAst	method	12	12	RUST		-	-	-	false	concerto_core::model_manager	P2-08+P4-08	logic	855
src/basemodelmanager.ts	BaseModelManager	getAst	method	15	15	RUST		W:modelmanager.js B:introspect/metamodel.js,decoratormanager.js,introspect/modelfile.js,+4	n=1 introspect/classdeclaration.js:1	n=46 introspect/property.js:14,introspect/metamodel.js:10,introspect/classdeclaration.js:8,+4files	false	concerto_core::model_manager	P2-08+P4-08	logic	874
src/basemodelmanager.ts	BaseModelManager	filter	method	17	17	HYBRID	takes a JS predicate callback over Declaration views; Rust does the AST copy and import pruning	B:introspect/modelfile.js,modelmanager.js,decoratormanager.js,+2	-	n=16 introspect/modelfile.js:9,modelmanager.js:3,models/test.js:2,+2files	false	concerto_core::model_manager	P2-08+P4-08	logic	909
src/datetimeutil.ts		setCurrentTime	function	16	16	TS	dates stay in dayjs (plan section 3, D7); returns dayjs objects	B:datetimeutil.js	-	n=6 datetimeutil.js:6	false	-	-	logic	24
src/dcsconverter.ts		handleTarget	function	10	10	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	-	-	-	false	-	-	logic	25
src/dcsconverter.ts		handleArguments	function	21	21	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	-	-	-	false	-	-	logic	47
src/dcsconverter.ts		handleDecorator	function	7	7	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	-	-	-	false	-	-	logic	77
src/dcsconverter.ts		handleCommands	function	7	7	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	-	-	-	false	-	-	logic	95
src/dcsconverter.ts		jsonToYaml	function	11	11	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	B:dcsconverter.js,decoratormanager.js	-	n=6 dcsconverter.js:4,decoratormanager.js:2	false	-	-	logic	108
src/dcsconverter.ts		restoreArguments	function	34	34	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	-	-	-	false	-	-	logic	132
src/dcsconverter.ts		restoreDecorator	function	7	7	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	-	-	-	false	-	-	logic	173
src/dcsconverter.ts		restoreCommands	function	11	11	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	-	-	-	false	-	-	logic	189
src/dcsconverter.ts		yamlToJson	function	12	12	TS	YAML (de)serialisation via the `yaml` npm lib (failsafe schema, exact text output); pure data reshaping that only feeds it, no model semantics	B:dcsconverter.js,decoratormanager.js	-	n=6 dcsconverter.js:4,decoratormanager.js:2	false	-	-	logic	207
src/decoratorextractor.ts	DecoratorExtractor	constructor	ctor	9	4.5	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	73
src/decoratorextractor.ts	DecoratorExtractor	isVocabDecorator	method	3	1.5	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	89
src/decoratorextractor.ts	DecoratorExtractor	quoteStringValue	method	9	9	HYBRID	quoting decision is defined by the `yaml` npm lib plain-scalar rules (yaml.stringify); Rust must port the rule and golden-test it against yaml.stringify, or call back into JS	-	-	-	false	concerto_core::dcs	P4-09	logic	101
src/decoratorextractor.ts	DecoratorExtractor	constructDCSDictionary	method	13	13	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	122
src/decoratorextractor.ts	DecoratorExtractor	transformNonVocabularyDecorators	method	15	15	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	143
src/decoratorextractor.ts	DecoratorExtractor	transformVocabularyDecorators	method	54	54	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	166
src/decoratorextractor.ts	DecoratorExtractor	constructTarget	method	16	16	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	227
src/decoratorextractor.ts	DecoratorExtractor	parseNonVocabularyDecorators	method	31	31	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	253
src/decoratorextractor.ts	DecoratorExtractor	parseVocabularies	method	66	66	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	291
src/decoratorextractor.ts	DecoratorExtractor	transformDecoratorsAndVocabularies	method	32	32	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	363
src/decoratorextractor.ts	DecoratorExtractor	filterOutDecorators	method	15	15	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	401
src/decoratorextractor.ts	DecoratorExtractor	processMapDeclaration	method	23	23	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	424
src/decoratorextractor.ts	DecoratorExtractor	processProperties	method	14	14	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	457
src/decoratorextractor.ts	DecoratorExtractor	processDeclarations	method	21	21	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	480
src/decoratorextractor.ts	DecoratorExtractor	processModels	method	15	15	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	507
src/decoratorextractor.ts	DecoratorExtractor	extract	method	11	11	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	530
src/decoratormanager.ts		intersect	function	6	6	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	110
src/decoratormanager.ts		isUnversionedNamespaceEqual	function	4	2	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	125
src/decoratormanager.ts	DcsIndexWrapper	constructor	ctor	4	2	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	144
src/decoratormanager.ts	DcsIndexWrapper	getCommand	method	3	1.5	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	153
src/decoratormanager.ts	DcsIndexWrapper	getIndex	method	3	1.5	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	161
src/decoratormanager.ts	DecoratorManager	validate	static	17	25.5	HYBRID	the DCS model is CTO text compiled by concerto-cto in JS (via addCTOModel); the command-set instance validation itself is Rust (Serializer fast path / validateCommand)	W:modelmanager.js B:decoratormanager.js	-	n=4 decoratormanager.js:4	false	concerto_core::dcs	P4-09	validation	186
src/decoratormanager.ts	DecoratorManager	migrateTo	static	16	16	RUST		B:decoratormanager.js	-	n=1 decoratormanager.js:1	false	concerto_core::dcs	P4-09	logic	210
src/decoratormanager.ts	DecoratorManager	canMigrate	static	4	2	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	234
src/decoratormanager.ts	DecoratorManager	addDcsWithIndexToMap	static	8	8	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	246
src/decoratormanager.ts	DecoratorManager	getDecoratorMaps	static	41	41	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	262
src/decoratormanager.ts	DecoratorManager	migrateAndValidate	static	35	35	HYBRID	the DCS model is CTO text compiled by concerto-cto in JS (via addCTOModel); the command-set instance validation itself is Rust (Serializer fast path / validateCommand)	-	-	-	false	concerto_core::dcs	P4-09	logic	315
src/decoratormanager.ts	DecoratorManager	pushMapValues	static	5	2.5	RUST		-	-	-	false	concerto_core::dcs	P4-09	glue	358
src/decoratormanager.ts	DecoratorManager	decorateModels	static	98	98	RUST		B:decoratormanager.js	-	n=40 decoratormanager.js:40	false	concerto_core::dcs	P4-09	logic	380
src/decoratormanager.ts	DecoratorManager	extractDecorators	static	15	15	RUST		B:decoratormanager.js	-	n=5 decoratormanager.js:5	false	concerto_core::dcs	P4-09	logic	493
src/decoratormanager.ts	DecoratorManager	extractVocabularies	static	14	14	RUST		B:decoratormanager.js	-	n=15 decoratormanager.js:15	false	concerto_core::dcs	P4-09	logic	516
src/decoratormanager.ts	DecoratorManager	extractNonVocabDecorators	static	14	14	RUST		B:decoratormanager.js	-	n=1 decoratormanager.js:1	false	concerto_core::dcs	P4-09	logic	538
src/decoratormanager.ts	DecoratorManager	validateCommand	static	77	115.5	RUST		-	-	-	false	concerto_core::dcs	P4-09	validation	557
src/decoratormanager.ts	DecoratorManager	applyDecoratorForMapElement	static	10	10	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	645
src/decoratormanager.ts	DecoratorManager	falsyOrEqual	static	7	7	RUST		B:decoratormanager.js	-	n=5 decoratormanager.js:5	false	concerto_core::dcs	P4-09	logic	664
src/decoratormanager.ts	DecoratorManager	applyDecorator	static	27	27	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	678
src/decoratormanager.ts	DecoratorManager	checkForDuplicateDecorators	static	14	21	RUST		-	-	-	false	concerto_core::dcs	P4-09	validation	712
src/decoratormanager.ts	DecoratorManager	executeNamespaceCommand	static	9	9	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	734
src/decoratormanager.ts	DecoratorManager	executeCommand	static	38	38	RUST		-	-	-	false	concerto_core::dcs	P4-09	logic	753
src/decoratormanager.ts	DecoratorManager	executePropertyCommand	static	14	14	RUST		B:decoratormanager.js	-	n=2 decoratormanager.js:2	false	concerto_core::dcs	P4-09	logic	799
src/decoratormanager.ts	DecoratorManager	checkForNamespaceTargetAndApplyDecorator	static	5	7.5	RUST		-	-	-	false	concerto_core::dcs	P4-09	validation	823
src/decoratormanager.ts	DecoratorManager	isNamespaceTargetEnabled	static	3	1.5	TS	constant-return member (type/kind marker or fixed default, body is `return <literal>`); stays as-is on the TS class, nothing to port	-	-	-	false	-	-	glue	833
src/decoratormanager.ts	DecoratorManager	jsonToYaml	static	4	2	HYBRID	command-set validation runs in Rust; YAML emission stays in TS (dcsconverter, `yaml` npm lib)	B:decoratormanager.js	-	n=2 decoratormanager.js:2	false	concerto_core::dcs	P4-09	glue	843
src/decoratormanager.ts	DecoratorManager	yamlToJson	static	5	2.5	HYBRID	YAML parsing stays in TS (dcsconverter, `yaml` npm lib); command-set validation runs in Rust	B:decoratormanager.js	-	n=2 decoratormanager.js:2	false	concerto_core::dcs	P4-09	glue	854
src/decoratormodelhelper.ts		getDecoratorModel	function	12	12	RUST		-	-	-	false	concerto_core::rootmodel	P2-08+P4-08	logic	21
src/factory.ts	Factory	newId	static	3	1.5	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	W:1.0.0/validate.js B:factory.js	-	n=1 factory.js:1	false	-	-	glue	57
src/factory.ts	Factory	constructor	ctor	3	1.5	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	S:serializer/jsonpopulator.js B:factory.js,model/concept.js,composer/i18n.js,+10	n=87 serializer/jsonpopulator.js:65,serializer/jsongenerator.js:12,serializer/resourcevalidator.js:8,+1files	n=341 serializer.js:117,serializer/resourcevalidator.js:45,serializer/instancegenerator.js:44,+15files	true	-	-	glue	66
src/factory.ts	Factory	newResource	method	72	72	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	W:factory.js,serializer/jsonpopulator.js B:factory.js,serializer/resourcevalidator.js,serializer/jsongenerator.js,+6	n=2 factory.js:2	n=71 serializer/resourcevalidator.js:19,factory.js:17,serializer.js:10,+12files	false	-	-	logic	86
src/factory.ts	Factory	newConcept	method	3	1.5	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	B:factory.js,serializer/maptype/serializer.js,serializer/complex/complex.js,+4	-	n=37 serializer/maptype/serializer.js:21,factory.js:6,models/test.js:2,+7files	false	-	-	glue	175
src/factory.ts	Factory	newRelationship	method	9	9	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	W:serializer/jsonpopulator.js B:factory.js,serializer/resourcevalidator.js,serializer.js,+5	-	n=37 serializer/resourcevalidator.js:11,serializer.js:5,serializer/jsongenerator.js:4,+11files	false	-	-	logic	192
src/factory.ts	Factory	newTransaction	method	15	15	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	B:factory.js,serializer/complex/complex.js	-	n=9 factory.js:6,models/dependencies2.js:1,models/model.js:1,+1files	false	-	-	logic	215
src/factory.ts	Factory	newEvent	method	15	15	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	B:factory.js	-	n=6 factory.js:6	false	-	-	logic	245
src/factory.ts	Factory	initializeNewObject	method	9	9	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	-	-	-	false	-	-	logic	270
src/factory.ts	Factory	parseGenerateOptions	method	19	19	TS	D7: Factory stays TS (uuid/dayjs, constructs dynamic TS Resource objects); model queries it makes go through Rust-backed views	-	-	-	false	-	-	logic	289
src/globalize.ts		messageFormatter	function	9	9	TS	public helper over messages/en.json used by M tests and remaining TS throw sites; the templates themselves are ported to the Rust catalogue (P1-05) but this function stays	B:composer/i18n.js	-	n=24 composer/i18n.js:24	false	-	-	logic	23
src/globalize.ts		formatMessage	function	3	1.5	TS	public helper over messages/en.json used by M tests and remaining TS throw sites; the templates themselves are ported to the Rust catalogue (P1-05) but this function stays	B:composer/i18n.js	-	n=1 composer/i18n.js:1	false	-	-	glue	39
src/globalize.ts		Globalize	function	6	6	TS	public helper over messages/en.json used by M tests and remaining TS throw sites; the templates themselves are ported to the Rust catalogue (P1-05) but this function stays	B:composer/i18n.js	-	n=8 composer/i18n.js:8	false	-	-	logic	49
src/introspect/assetdeclaration.ts	AssetDeclaration	constructor	ctor	3	1.5	RUST		S:introspect/assetdeclaration.js,introspect/decorator.js	n=11 introspect/assetdeclaration.js:9,introspect/decorator.js:2	-	true	concerto_core::introspect::declaration	P2-03+P4-06	glue	40
src/introspect/assetdeclaration.ts	AssetDeclaration	declarationKind	method	3	1.5	TS	constant-return member (type/kind marker or fixed default, body is `return <literal>`); stays as-is on the TS class, nothing to port	W:introspect/assetdeclaration.js B:introspect/assetdeclaration.js,introspect/classdeclaration.js,introspect/enumdeclaration.js,+4	-	n=7 introspect/assetdeclaration.js:1,introspect/classdeclaration.js:1,introspect/enumdeclaration.js:1,+4files	false	-	-	glue	49
src/introspect/classdeclaration.ts	ClassDeclaration	declarationKind	method	3	1.5	TS	abstract stub (throws); overridden by subclasses, nothing to port	W:introspect/assetdeclaration.js B:introspect/classdeclaration.js,introspect/assetdeclaration.js,introspect/enumdeclaration.js,+4	-	n=7 introspect/assetdeclaration.js:1,introspect/classdeclaration.js:1,introspect/enumdeclaration.js:1,+4files	false	-	-	glue	60
src/introspect/classdeclaration.ts	ClassDeclaration	process	method	71	106.5	RUST		-	-	-	false	concerto_core::introspect::declaration	P2-03+P4-06	validation	70
src/introspect/classdeclaration.ts	ClassDeclaration	addTimestampField	method	5	2.5	RUST		-	-	-	false	concerto_core::introspect::declaration	P2-03+P4-06	glue	148
src/introspect/classdeclaration.ts	ClassDeclaration	addIdentifierField	method	5	2.5	RUST		-	-	-	false	concerto_core::introspect::declaration	P2-03+P4-06	glue	159
src/introspect/classdeclaration.ts	ClassDeclaration	_resolveSuperType	method	26	39	RUST		B:introspect/classdeclaration.js	n=5 introspect/classdeclaration.js:5	n=5 introspect/classdeclaration.js:5	false	concerto_core::introspect::declaration	P2-03+P4-06	validation	169
src/introspect/classdeclaration.ts	ClassDeclaration	validate	method	103	154.5	RUST		W:modelmanager.js B:introspect/classdeclaration.js,introspect/mapdeclaration.js,introspect/stringvalidator.js,+12	-	n=109 introspect/mapdeclaration.js:33,introspect/stringvalidator.js:19,introspect/modelfile.js:15,+15files	false	concerto_core::introspect::declaration	P2-03+P4-06	validation	204
src/introspect/classdeclaration.ts	ClassDeclaration	isAbstract	method	3	1.5	RUST		B:introspect/eventdeclaration.js,introspect/scalardeclaration.js	-	n=3 introspect/eventdeclaration.js:1,introspect/scalardeclaration.js:1,models/model.js:1	false	concerto_core::introspect::declaration	P2-03+P4-06	glue	313
src/introspect/classdeclaration.ts	ClassDeclaration	isIdentified	method	3	1.5	RUST		B:introspect/declaration.js,introspect/scalardeclaration.js	-	n=2 introspect/declaration.js:1,introspect/scalardeclaration.js:1	false	concerto_core::introspect::declaration	P2-03+P4-06	glue	322
